tar_id,TargetVariable
1,0.255813953
2,0.353846154
3,0.4
4,0.261538462
5,0.473684211
6,0.390243902
7,0.325581395
8,0.619047619
9,0.375
10,0.44
11,0.465116279
12,0.394366197
13,0.45
14,0.1875
15,0.25
16,0.4
17,0.40625
18,0.545454545
19,0.546666667
20,0.288888889
21,0.428571429
22,0.322580645
23,0.395833333
24,0.558823529
25,0.714285714
26,0.493333333
27,0
28,0.322580645
29,0.301369863
30,0.285714286
31,0.333333333
32,0.814285714
33,0.591836735
34,0.666666667
35,0.25
36,0.444444444
37,0.580645161
38,0.5
39,0.210526316
40,0.613207547
41,0.390243902
42,0.204819277
43,0
44,0.394366197
45,0.128205128
46,0.443298969
47,0.421052632
48,0.545454545
49,0
50,0.288888889
51,0.288461538
52,0.4
53,0.445783133
54,0.407407407
55,0.25
56,0
57,0.431034483
58,0.428571429
59,0
60,0.280898876
61,0.428571429
62,0.545454545
63,0.857142857
64,0.125
65,0
66,0.50617284
67,0.666666667
68,0.140625
69,0.515151515
70,0.442622951
71,0.432432432
72,0.25
73,0.411764706
74,0
75,0.333333333
76,0.452830189
77,0.247524752
78,0.268656716
79,0.363636364
80,0.4
81,0.769230769
82,0.459459459
83,0.673469388
84,0.547619048
85,0.561403509
86,0.408163265
87,0.316326531
88,0.35
89,0.25
90,0.542857143
91,0.238095238
92,0.142857143
93,0.47826087
94,0.204819277
95,0.372093023
96,0.435185185
97,0.196319018
98,0.272727273
99,0.771428571
100,0.369565217
101,0.567164179
102,0.333333333
103,0.277777778
104,0.25
105,0.333333333
106,0.222222222
107,0.736842105
108,0.375
109,0.666666667
110,0.142857143
111,0.75
112,0.666666667
113,0.285714286
114,0.387931034
115,0.512820513
116,0.125
117,0
118,0.431034483
119,0.490196078
120,0.428571429
121,0
122,0.727272727
123,0.295454545
124,0.442622951
125,0.255813953
126,0.353846154
127,0.4
128,0.261538462
129,0.473684211
130,0.390243902
131,0.325581395
132,0.619047619
133,0.375
134,0.44
135,0.465116279
136,0.394366197
137,0.45
138,0.1875
139,0.25
140,0.4
141,0.40625
142,0.545454545
143,0.546666667
144,0.288888889
145,0.428571429
146,0.322580645
147,0.395833333
148,0.558823529
149,0.714285714
150,0.493333333
151,0
152,0.322580645
153,0.301369863
154,0.285714286
155,0.333333333
156,0.814285714
157,0.591836735
158,0.666666667
159,0.25
160,0.444444444
161,0.580645161
162,0.5
163,0.210526316
164,0.613207547
165,0.390243902
166,0.204819277
167,0
168,0.394366197
169,0.128205128
170,0.443298969
171,0.421052632
172,0.545454545
173,0
174,0.288888889
175,0.288461538
176,0.4
177,0.445783133
178,0.407407407
179,0.25
180,0
181,0.431034483
182,0.428571429
183,0
184,0.280898876
185,0.428571429
186,0.545454545
187,0.857142857
188,0.125
189,0
190,0.512195122
191,0.666666667
192,0.140625
193,0.515151515
194,0.442622951
195,0.432432432
196,0.25
197,0.411764706
198,0
199,0.242424242
200,0.322033898
201,0.363636364
202,0.648148148
203,0.5
204,0.556818182
205,0.519230769
206,0.586206897
207,0.555555556
208,0.5
209,0.628571429
210,0
211,0.285714286
212,0.578947368
213,0.470588235
214,0.25
215,0.166666667
216,0
217,0.510204082
218,0.242857143
219,0.407407407
220,0.666666667
221,0.75
222,0.43902439
223,0
224,0.535714286
225,0
226,0.242424242
227,0.323076923
228,0.076923077
229,0.210526316
230,0.276315789
231,0.409090909
232,0.322033898
233,0.642857143
234,0.47761194
235,0.525
236,0.666666667
237,0.423728814
238,0.393617021
239,0.409090909
240,0.25
241,0.666666667
242,0.268907563
243,0.8
244,0.405797101
245,0.50617284
246,0.462686567
247,0.4875
248,0.52173913
249,0
250,0.361702128
251,0.598039216
252,0.412371134
253,0.615384615
254,0.75
255,0.428571429
256,0.373134328
257,0.677966102
258,0.604166667
259,0.292682927
260,0.630434783
261,0.653846154
262,0.16
263,0.5
264,0.445783133
265,0
266,0.535714286
267,0.389380531
268,0.462962963
269,0
270,0.289473684
271,0.666666667
272,0.409090909
273,0.407407407
274,0.25
275,0.8
276,0.416666667
277,0.488095238
278,0.181818182
279,0.547368421
280,0.542857143
281,0.292682927
282,0.566037736
283,0.189655172
284,0.362068966
285,0.537037037
286,0.556818182
287,0.159663866
288,0.5
289,0
290,0.375
291,0.481481481
292,0.302631579
293,0.44
294,0
295,0.464285714
296,0.243243243
297,0.652173913
298,0.493670886
299,0.261261261
300,0.361111111
301,0.408450704
302,0.470588235
303,0
304,0.666666667
305,0
306,0.387096774
307,0.576923077
308,0.261261261
309,0.504854369
310,0.315789474
311,0
312,0.373134328
313,0.733333333
314,0.379310345
315,0.277777778
316,0.827586207
317,0.427272727
318,0.549450549
319,0.25
320,0.341463415
321,0.466666667
322,0.472222222
323,0.707317073
324,0.571428571
325,0.56
326,0.161290323
327,0.564814815
328,0.4
329,0.076923077
330,0.743589744
331,0.477272727
332,0.340425532
333,0.222222222
334,0.159663866
335,0.436619718
336,0.333333333
337,0.227272727
338,0.5
339,0.295454545
340,0.322580645
341,0.379310345
342,0.547368421
343,0.516129032
344,0.525641026
345,0
346,0.802816901
347,0.369863014
348,0.5
349,0
350,0.514285714
351,0.25
352,0.35483871
353,0.341463415
354,0.661290323
355,0.608695652
356,0.7
357,0.368421053
358,0.519480519
359,0.357142857
360,0.52173913
361,0.564516129
362,0.25
363,0.707317073
364,0.393939394
365,0.05
366,0.276315789
367,0.535714286
368,0.648648649
369,0.723684211
370,0.222222222
371,0.340425532
372,0.590163934
373,0.5
374,0.5
375,0.428571429
376,0.275
377,0.564516129
378,0.289473684
379,0.107142857
380,0.159663866
381,0.488095238
382,0.487179487
383,0.322580645
384,0.408450704
385,0.076923077
386,0.4
387,0.379310345
388,0.42
389,0.6
390,0.304347826
391,0
392,0.444444444
393,0
394,0.263157895
395,0.25
396,0.571428571
397,0.194444444
398,0.72
399,0.393939394
400,0.479166667
401,0.273584906
402,0.25
403,0.338582677
404,0.588235294
405,0.35483871
406,0.563636364
407,0.26
408,0.518181818
409,0.4
410,0.53125
411,0.476190476
412,0.591549296
413,0.555555556
414,0.052631579
415,0.583333333
416,0.466666667
417,0.628571429
418,0.37254902
419,0.302631579
420,0.194444444
421,0.621621622
422,0.2
423,0.393939394
424,0
425,0.370967742
426,0.4
427,0.619047619
428,0.413793103
429,0.107142857
430,0.352112676
431,0.675
432,0.285714286
433,0.168141593
434,0
435,0.633802817
436,0.642857143
437,0.628571429
438,0.25
439,0.052631579
440,0.172413793
441,0.444444444
442,0.9
443,0.512820513
444,0.5
445,0.454545455
446,0.423076923
447,0.459459459
448,0.621621622
449,0.551724138
450,0.195121951
451,0.194444444
452,0
453,0.474747475
454,0.493670886
455,0.444444444
456,0.25
457,0.516129032
458,0.210526316
459,0.541666667
460,0
461,0.394736842
462,0.2
463,0.619047619
464,0.22972973
465,0.923076923
466,0.3125
467,0.5
468,0.47826087
469,0.509090909
